,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
4858,pistil,'A discrete organ in the center of a flower capable of receiving pollen and producing a fruit.','the female organs of a flower which receive the pollen and produce seeds',17,13,The part of a flower where seeds come from and take pollen,12,0.8283325
4859,quick-witted,'Of high or especially quick cognitive capacity.','able to think quickly; intelligent',7,5,Able to think fast and smart,6,0.825801
4860,foghorn,'A very loud low-pitched horn used especially in lighthouses and on large boats.','a device that makes a loud noise to warn ships of danger in fog',13,14,A thing that goes boom to tell ships about danger in the fog,13,0.81460124
4861,winch,'A hoisting machine used for loading or discharging cargo or for hauling in lines.','a machine for lifting or pulling heavy objects using a rope or chain',14,13,A machine to lift or pull big things with a rope or chain,13,0.89457583
4862,orthographic,'Of a projection used in maps architecture etc. in which the rays are parallel.','connected with the system of spelling in a language',14,9,linked with how words are spelled in a language,9,0.8073894
4863,stairwell,'A shaft in a multi-story building enclosing a stairway.','the space in a building in which the stairs are built',9,11,The part of a house where the stairs go up and down,12,0.75644565
4864,night-time,'The period between sunset and sunrise when a location faces far away from the sun thus when the sky is dark.','the time when it is dark',21,6,The time when it is night,6,0.88199705
4865,fireplace,'An open recess in a wall at the base of a chimney where a fire may be built.','an open space for a fire in the wall of a room',18,12,A place in the wall of a room for a fire,11,0.87651235
4866,lassi,'A drink made with yoghurt diluted with water and flavoured with salt or fruit juice.','a South Asian drink made from yogurt',15,7,A special drink from Asia made with yogurt,8,0.85750496
4867,jamb,'The vertical components that form the sides of a door frame window frame or fireplace or other opening in a wall.','a post at the side of a door or window',21,10,A stick next to a door or window,8,0.82732046
4868,lintel,'A horizontal structural beam spanning an opening such as between the uprights of a door or a window and which supports the wall above.','a piece of wood stone metal or concrete over a door or window that forms part of the frame',24,19,A thing over a door or window that helps hold it up,12,0.8256656
4869,architrave,'A horizontal structural beam spanning an opening such as between the uprights of a door or a window and which supports the wall above.','the frame around a door or window',24,7,The part around a door or window,7,0.87043774
4870,joist,'One of the horizontal supporting members that run from wall to wall wall to beam or beam to beam to support a ceiling roof or floor.','a long thick piece of wood or metal that is used to support a floor or ceiling in a building',26,20,A big stick used to hold up a floor or roof in a house,14,0.8447622
4871,girder,'A beam of steel wood or reinforced concrete used as a main horizontal support in a building or structure.','a long strong iron or steel bar used for building bridges and the framework of large buildings',19,17,A long strong metal bar used to build bridges and big buildings,12,0.8552915
4872,ledger,'A horizontal timber fastened to the vertical uprights of a scaffold lying parallel to the face of a building to support the putlogs or joists when they not enter into the walls or do not cover the beams.','a book or electronic document in which a bank a business etc. records the money it has paid and received',38,20,A book or computer file where a bank or business writes down money that comes in and goes out,19,0.8276591
4873,mortise,'A hole in a piece of wood or the like that is made to receive a tenon of the same dimension on another piece so as to form a joint between the pieces.','a hole cut in a piece of wood etc. to receive the end of another piece of wood so that the two are held together',33,25,A hole in wood made to fit another piece so they stay together,13,0.82600707
4874,tenon,'A projecting member left by cutting away the wood around it and made to insert into a mortise and in this way secure together the parts of a frame.','an end of a piece of wood that has been cut to fit into a mortise so that the two are held together',29,23,A part of wood cut to fit into a hole so the two stay together,15,0.85440606
4875,hacksaw,'A saw with a blade that is put under tension for cutting metal.','a tool with a narrow blade (= cutting edge) in a frame used for cutting metal',13,16,A tool with a thin sharp part for cutting metal,10,0.8722422
4876,shifter,'A wrench with a smooth adjustable jaw to grip different sizes of nuts and bolts.','the gearbox of a vehicle or the set of levers on a bicycle for changing gear',15,16,The part of a car or bike that helps it go faster or slower,14,0.76947427
4877,gimlet,'A small screw-tipped hand tool for boring holes in wood.','a small tool for making holes in wood to put screws in',10,12,a little tool used to make holes in wood for screws,11,0.90453905
4878,gable,'The triangular area of external wall adjacent to two meeting sloped roofs.','the upper part of the end wall of a building between the two sloping sides of the roof that is like a triangle in shape',12,25,The top part of the wall on a building shaped like a triangle between the two sloping sides of the roof,21,0.8836912
4879,cladding,'A building material which covers and protects the sides of a house or other building.','a layer of a hard material used as protection',15,9,A hard cover to keep things safe,7,0.6635168
4880,hydrotherapy,'The use of water for therapeutic purposes.','the treatment of disease or injury by doing physical exercises in water',7,12,Helping people feel better by doing moves in water,9,0.7408403
4881,innkeeper,'The person responsible for the running of an inn.','a person who owns or manages an inn',9,8,A person who has or runs a small hotel,9,0.7950828
4882,pinky,'The smallest finger of a hand.','the smallest finger of the hand',6,6,the little finger on the hand,6,0.7724669
4883,shin,'The front part of the leg below the knee.','the front part of the leg below the knee',9,9,The front of the leg under the knee,8,0.8658248
4884,tenderloin,'A cut of meat from the region of an animal below the rib cage but above the hipbone.','good quality meat from the back or side of a cow or pig',18,13,Nice meat from the back or side of a cow or pig,12,0.93782693
4885,sirloin,'A cut of meat from the region of an animal below the rib cage but above the hipbone.','good quality beef that is cut from a cow’s back',18,10,Nice beef cut from a cows back,7,0.84317714
4886,snood,'The flap of red skin on the beak of a turkey.','a net or bag worn over the hair at the back of the head for decoration',11,16,A net or bag over hair on the back of the head to look pretty,15,0.8442069
4887,sideburn,'Each of the patches of facial hair grown on the sides of the face extending from the hairline to below the ears and worn with an unbearded chin.','hair that grows down the sides of the face in front of the ears',28,14,Hair growing on the sides of your face by the ears,11,0.8257542
4888,pinna,'The visible part of the ear that resides outside of the head','the part of the ear that is on the outside of the body',12,13,The ear part that is outside the body,8,0.86928844
4889,coccyx,'The final fused vertebrae at the base of the spine connected to the sacrum.','the small bone at the bottom of the spine',14,9,The tiny bone at the end of your back,9,0.8324262
4890,tailbone,'The final fused vertebrae at the base of the spine connected to the sacrum.','the small bone at the bottom of the spine',14,9,The tiny bone at the end of the back,9,0.8637384
4891,stapes,'A small stirrup-shaped bone of the middle ear.','the third of three small bones in the middle ear that carry sound to the inner ear',8,17,The third of three little bones in the middle ear that help sound go inside,15,0.89393204
4892,tarsal,'Any of the seven bones of the tarsus.','one of the small bones in the ankle and upper foot',8,11,A little bone in the ankle and upper foot,9,0.85634416
4893,metacarpal,'Any of the bones of the metacarpus.','any of the five bones in the hand between the wrist and the fingers',7,14,The five little bones in your hand between your wrist and fingers,12,0.8336948
4894,carpal,'Any of the eight bones of the wrist.','any of the eight small bones that form the wrist (= part between the hand and the arm)',8,18,The wrist is made up of eight little bones that help connect the hand to the arm,17,0.85153186
4895,canoeist,'A person who navigates a canoe.','a person travelling in a canoe',6,6,a person going in a small boat,7,0.8111967
4896,vapour,'The gaseous state of a substance that is normally a solid or liquid.','a mass of very small drops of liquid in the air for example steam',13,14,Tiny drops of wet stuff in the air like steam,10,0.7337673
4897,tiramisu,'An Italian dessert made of ladyfingers dipped in coffee layered with a mixture of egg yolks and mascarpone and flavored with cocoa and sometimes liquor.','an Italian dessert (= sweet dish) made from layers of cake with coffee chocolate and mascarpone cheese',25,17,A yummy Italian dessert with cake coffee chocolate and cheese layers,11,0.8365606
4898,seaside,'A line or zone where the land meets the sea or some other large expanse of water.','an area that is by the sea especially one where people go for a day or a holiday',17,18,A place by the sea where people go for fun or vacation,12,0.8432958
4899,ladyfinger,'A light and sweet sponge cake roughly shaped like a human finger.','a small long thin cake made with eggs sugar and flour',12,11,A little long cake made with eggs and sugar,9,0.8756599
4900,peafowl,'A flying bird of the genus Pavo.','a large pheasant found mainly in Asia. The male is called a peacock and the female is called a peahen.',7,20,A big bird mostly found in Asia The boy bird is called a peacock and the girl bird is called a peahen,22,0.862461
4901,peahen,'A female bird of the genus Pavo.','a large brown bird the female of the peacock',7,9,a big brown bird like a girl peacock,8,0.7692457
4902,mow,'To cut all the grass crop or any thin plants of a surface area of the ground.','to cut grass etc. using a machine or tool with a special blade (= sharp cutting edge) or blades',17,19,To cut grass with a sharp tool or machine,9,0.8667717
4903,pollination,'The transfer of pollen from an anther to a stigma thereby enabling fertilization and sexual reproduction of a plant.','the process of pollen entering or being put into a flower or plant so that it produces seeds',19,18,Pollen goes into a flower and helps it make seeds,10,0.79675996
4904,spearmint,'A species of mint native to much of Europe and southwest Asia which is used in medicine and cooking.','a type of mint used especially in making sweets and toothpaste',19,11,A kind of mint that people use to make sweets and toothpaste,12,0.8668208
4905,discouraged,Having lost one's psychological and moral dynamism or strength to go on doing a difficult or dangerous thing.,'feeling less confident or enthusiastic about doing something',18,8,Feeling not as sure or happy about doing something,9,0.84031266
4906,serving,'A predetermined amount of a food given to a person.','an amount of food for one person',10,7,A little food for one person,6,0.8154205
4907,genitals,'The sexual organs: the testicles and penis of a male; or the labia clitoris and vagina of a female.','a person’s sex organs that are outside their body',19,9,The private parts a person has on the outside of their body,12,0.8188711
4908,underclass,'A class of people in a society characterized by low income low level of education high unemployment and as a result of these a low social status.','a social class that is very poor and has no status',27,11,A group of people that are very poor and have no importance,12,0.84146166
4909,heterodox,'Not conforming with accepted or orthodox standards or beliefs.','not following the usual or accepted beliefs and opinions',9,9,Not thinking like most people think,6,0.61726385
4910,heterodoxy,'Any opinions or doctrines at variance with an official or orthodox position.','the fact of not following the usual or accepted beliefs and opinions; an opinion or belief that is different from usual ',12,22,Thinking or believing in different ways than what most people think or believe,13,0.76469463
4911,parquet,'A floor covering for indoors made of wood.','a type of floor that consists of flat pieces of wood fixed together in a pattern',8,16,A kind of floor made of wooden pieces put together in a pattern,13,0.8784955
4912,bowdlerize,'To remove those parts of a text considered offensive vulgar or otherwise unseemly.','to remove the parts of a book play etc. that you think are likely to shock or offend people',13,19,Take out the parts of a story play or book that might upset people,14,0.82575023
4913,gyroscope,'A device for measuring or maintaining orientation based on the principles of angular momentum.','a device consisting of a wheel that turns rapidly inside a frame and does not change position when the frame is moved. Gyroscopes are often used to keep ships and aircraft steady.',14,32,A gyroscope is a thing with a fastspinning wheel inside a frame that doesnt move when the frame goes around People use gyroscopes to help ships and planes stay steady,30,0.8745794
4914,pertussis,'A contagious disease of the respiratory system that usually affects children.','whooping cough (= a disease especially of children that makes them cough and have difficulty breathing)',11,16,Whooping cough is when kids cough a lot and find it hard to breathe,14,0.83750457
4915,roughcast,'Coarse cladding used on outside walls that consists of lime (or cement or both) mixed with sand and sometimes small gravel or shells then thrown against the wall.','roughcast walls are outside walls that are covered with a type of plaster that contains small stones',28,17,Roughcast walls are walls on the outside that have a plaster with little stones,14,0.88671607
4916,mayday,'An expression used by aircraft and shipping to call for help or assistance.','an international radio signal used by ships and aircraft needing help when they are in danger',13,16,A special signal that boats and planes use when they need help,12,0.84037584
4917,harridan,'A vicious and scolding woman especially an older one.','an offensive word for an angry or unpleasant woman',9,9,A mean word for a mad or not nice woman,10,0.7667137
4918,virago,'A vicious and scolding woman especially an older one.','an offensive word for a woman who is thought to be aggressive and trying to control people',9,17,A bad word for a woman who acts bossy and wants to tell people what to do,17,0.85655785
4919,typewriter,'A device at least partially mechanical used to print text by pressing keys that cause type to be impressed through an inked ribbon onto paper.','a machine that produces writing similar to print. It has keys that you press to make metal letters or signs hit a piece of paper through a long narrow piece of cloth covered with ink (= coloured liquid).',25,38,A machine that helps you write like printed words You press keys to make metal letters hit the paper through a cloth with ink,24,0.85202515
4920,hag,'A vicious and scolding woman especially an older one.','an offensive word for an old woman',9,7,A mean word for an old lady,7,0.8643046
4921,tort,'A wrongful act whether intentional or negligent which causes an injury and can be remedied at civil law usually through awarding damages.','something wrong that somebody does to somebody else that is not criminal but that can lead to action in a civil court',22,22,A wrong thing someone does to another that isnt a crime but can be taken to court,17,0.8644545
4922,platypus,'A semi-aquatic mammal of the species Ornithorhynchus anatinus that lays eggs.','an Australian animal that is covered in fur and has a beak like a duck webbed feet (= with skin between the toes) and a flat tail. Platypuses lay eggs but give milk to their young.',11,36,The platypus is a furry animal from Australia with a ducklike beak webbed feet and a flat tail They lay eggs but also give milk to their babies,28,0.92807955
4923,gasoline,'A fuel for internal combustion engines consisting essentially of volatile flammable liquid hydrocarbons derived from crude petroleum.','a liquid obtained from petroleum used as fuel in car engines etc.',17,12,Gasoline is a special liquid from oil that makes cars go,11,0.77846736
4924,strainer,'An apparatus with small holes used to separate a solid from a liquid.','a kitchen utensil (= a tool) with a lot of small holes in it used for separating solids from liquids',13,20, A kitchen tool with many small holes used to take solid things away from liquid,15,0.8426284
4925,skimmer,'Kitchen utensil in the form of a flat spoon with small holes and a long handle used to remove hot food from a liquid or to skim off top lying material lıke foam or cream.','a device that illegally copies electronic information from a credit card in order to use it without the owner’s permission',35,20,A tool that wrongly takes card info to use it without asking the owner,14,0.83385706
4926,toddler,'A child between the ages of one and three','a child who has only recently learnt to walk',9,9,A little child who just learned to walk,8,0.7535469
4927,sidewalk,'A paved footpath at the side of a road for the use of pedestrians.','a flat part at the side of a road for people to walk on',14,14,A flat place by a road where people can walk,10,0.87248987
4928,jack-in-the-box,'A children\'s toy that outwardly consists of a box with a crank. When the crank is turned it plays a melody. At the end of a tune there is a surprise the lid pops open and a figure usually a clown or jester pops out of the box.','a toy in the shape of a box with a figure inside on a spring that jumps up when you open the box',48,23,A toy box with a little person that jumps up when you open it,14,0.87007916
4929,croup,'A respiratory condition that is usually triggered by an acute viral infection of the upper airway.','a disease of children that makes them cough (= force air through the throat noisily) a lot and have difficulty breathing',16,21,A sickness in kids that makes them cough a lot and have trouble breathing,14,0.86633503
4930,keyboardist,'A musician who plays a keyboard instrument.','a person who plays an electronic musical instrument with a keyboard',7,11,Someone who makes music with a keyboard,7,0.8557159
4931,firefly,'A nocturnal bioluminescent beetle of the family Lampyridae.','a flying insect with a tail that shines in the dark',8,11,A bug with a tail that glows at night,9,0.86176753
4932,secretive,'Having an inclination to secrecy.','tending or liking to hide your thoughts feelings actions etc. from other people',5,13,Liking to keep your thoughts and feelings secret from others,10,0.85087216
4933,pedometer,'A device that counts the number of steps that a person takes.','an instrument for measuring how far you have walked',12,9,A tool to see how long you have walked,9,0.8177056
4934,lymph,'A colourless watery bodily fluid carried by the lymphatic system.','a clear liquid containing white blood cells that helps to clean the tissues of the body and helps to prevent infections from spreading',10,23,Its a clear water with white blood cells that keeps the body clean and stops infections from spreading,18,0.85930485
4935,mucus,'(physiology) A viscous secretion from the lining of the mucous membranes.','a thick liquid that is produced in parts of the body such as the nose by a mucous membrane',11,19,A thick gooey liquid made inside the nose,8,0.7102785
4936,loofah,'A tropical vine of the genus Luffa having almost cylindrical fruit with a spongy fibrous interior; the dishcloth gourd','a long rough bath sponge made from the dried fruit of a tropical plant',19,14,A sponge is made from a dried plant fruit like a bath thing,13,0.77884924
4937,meow,'The cry of a cat.','the crying sound made by a cat',5,7,A cats cry,3,0.6642721
4938,staphylococcus,'A parasitic bacterium of the genus Staphylococcus.','a type of bacteria that can cause infections in some parts of the body such as the skin and eyes',7,20,Tiny germs can make some places on your body like your skin and eyes sick,15,0.8176278
4939,see-saw,'An apparatus composed of a plank balanced in the middle with seats at both end used for a game in which one person goes up as the other goes down.','to keep changing from one situation opinion emotion etc. to another and back again',30,14,To keep going from one feeling or idea to another and back again,13,0.8375928
4940,oppression,'The exercise of authority or power in a burdensome cruel or unjust manner.','cruel and unfair treatment of people especially by not giving them the same freedom rights etc. as other people',13,19,Being mean and not fair to people by not letting them have the same freedom as others,17,0.830223
4941,upstart,'Wealthy person whose fortunes are newly acquired and who is therefore perceived to lack the refinement of those who were raised wealthy.','a person who has just started in a new position or job but who behaves as if they are more important than other people in a way that is annoying',22,30,A new person who acts like they are very important can be annoying,13,0.8435411
4942,windsurfing,'A water sport consisting of riding a surfboard that has an attached sail.','the sport of sailing on water standing on a windsurfer',13,10,Its like riding on water with a surfboard and a big sail,12,0.786551
4943,boardsailing,'A water sport consisting of riding a surfboard that has an attached sail.','the sport of sailing on water standing on a sailboard',13,10,It is like riding on water while standing on a board,11,0.78653085
4944,closing,'A polite phrase used to end a letter or other written communication.','coming at the end of a speech a period of time or an activity',12,14,This happens at the end of talking time or doing something,11,0.7880079
4945,cirque,'A curved depression  with steep walls in a mountainside created by glacier erosion forming the end of a valley.','a round hollow area in the side of a mountain',19,10,a round place in the side of a big hill,10,0.8632978
4946,vane,'The flattened web-like part of a feather consisting of a series of barbs on either side of the shaft.','a flat blade that is moved by wind or water and is part of the machines in a windmill etc.',19,20,A flat part of a machine that moves when wind or water pushes it,14,0.8792198
4947,raincoat,'A waterproof coat worn to protect against the rain.','a long light coat that keeps you dry in the rain',9,11,A long coat to keep you dry when it rains,10,0.8773377
4948,remarkable,'Immediately noticeable or standing out.','unusual or surprising in a way that causes people to take notice',5,12,Something strange or special that makes people look,8,0.7708329
4949,speck,'A very small piece of matter.','a very small spot; a small piece of dirt etc.',6,10,A tiny bit of dirt,5,0.75727224
4950,sarin,'A colorless and odorless substance with the formula (CH3)2CHOCH3P(O)F which is toxic to humans and animals.','a type of poisonous gas used in chemical weapons',16,9,A kind of bad gas used in war weapons,9,0.86027825
4951,bowman,'Someone who shoots an arrow from a bow or a bolt from a crossbow.','archer (= a person who shoots with a bow and arrows)',14,11,An archer is someone who shoots arrows from a bow,10,0.8641086
4952,foosball,'A table-top game based on football where small figures placed on rotating bars are used to shoot the ball.','an indoor game for two people or teams played by moving rows of small models of football (soccer) players in order to move a ball on a board that has marks like a football (soccer) field',19,36,A fun inside game for two people or teams where you move little soccer players on a board with marks like a soccer field to get a ball into a goal,31,0.89866054
4953,trivet,'An object sometimes with short feet used to support hot dishes and protect a table.','a metal stand that you can put a hot dish etc. on',15,12,A metal holder you can put a hot plate on,10,0.83729976
4954,voila,'Used to introduce a person thing or action that the listener can feel very often visually.','used to say ‘there it is!’ when you show something to somebody or something appears suddenly',16,16,You can say there it is when you show a thing to someone or if something pops up,18,0.82054377
4955,swordfish,'A fish of the species Xiphias gladius with a long flat bill.','a large sea fish with a very long thin pointed upper jaw',12,12,A big sea fish with a long thin pointy top nose,11,0.857426
4956,lollipop,'A confectionery consisting of a piece of candy/sweet attached to a stick.','a hard round or flat sweet made of boiled sugar on a small stick',12,14,A sweet candy on a stick,6,0.6762552
4957,rowboat,'An open boat propelled by pulling oars through the water.','a small open boat that you move using oars',10,9,A little boat you move with sticks,7,0.78128266
4958,regardless,'Whatever the case may be','paying no attention even if the situation is bad or there are difficulties',5,13,Keep going even if things are hard,7,0.6781814
4959,kettlebell,'A cast-iron weight resembling a cannonball with a handle used to perform ballistic exercises.','a large iron weight in the shape of a ball with a single handle used in exercises to build strength in the hands lower back legs and shoulders',14,28,A big heavy ball with a handle helps make hands back legs and shoulders strong,15,0.83273613
4960,overproduction,'A production that exceeds the demand by consumers.','the act of producing more of something than is wanted or needed',8,12,Making more of something than needed,6,0.7541157
4961,traitor,'A person who is active in an Organisation or similar who is actively and secretly sharing some or all of its internal and confidential informations with another organisation or group of people most often targetting quite opposite goals.','a person who betrays their friends their country etc. by giving away secrets about them by lying to or about them or by doing other things that will harm them',38,30,A person who tells secret things to hurt their friends or country,12,0.8624098
4962,bartender,'A person preparing and serving drinks at a bar.','a person who works in a bar serving drinks',9,9,A person who gives drinks in a bar,8,0.84112275
4963,barman,'A man preparing and serving drinks at a bar.','a man who works in a bar serving drinks',9,9,A man who gives drinks to people in a place called a bar,13,0.8257063
4964,barmaid,'A woman preparing and serving drinks at a bar.','a woman who works in a bar serving drinks',9,9,A woman who gives drinks to people in a bar,10,0.818205
4965,cannonade,'An intense and prolonged artillery fire.','a continuous firing of large guns',6,6,a lot of big guns going boom,7,0.63817406
4966,doff,To take (an article of clothing) away from one's body.,'to take off a piece of clothing; to take off your hat especially to show respect for somebody/something',10,18,Take off something you wear like a hat to show you respect someone or something,15,0.83805084
4967,guilder,'The Dutch currency until the introduction of the euro in 2002.','the former unit of money in the Netherlands (replaced in 2002 by the euro)',11,14,The old money used in the Netherlands before 2002 was changed to the euro,14,0.8612788
4968,florin,'The Dutch currency until the introduction of the euro in 2002.','an old British coin worth two shillings (= now 10p)',11,10,An old British coin was worth a little more than 10p now,12,0.8270844
4969,earlobe,'The lower fleshy part of the human ear.','the soft part at the bottom of the ear',8,9,the soft part under your ear,6,0.75258344
4970,precariat,'A social group of unprotected workers and unemployed people.','people whose employment and income are not secure especially when considered as a class',9,14,People who do not have secure jobs or money especially when seen as a group,15,0.85572445
4971,phantasy,A situation imagined by an individual that expresses certain desires or aims on the part of its creator. Fantasies sometimes involve situations that are highly unlikely; or they may be quite realistic. Another more basic meaning of fantasy is something which is not 'real' as in perceived explicitly by any of the senses but exists as an imagined situation of object to subject.,'fantasy (= a product of your imagination; the act of imagining things)',63,12,A fantasy is something you imagine,6,0.72974163
4972,birther,'A person who denies that President Barack Obama was born in the United States.','a person who claimed that President Obama was not born a US citizen and so had no legal right to be president',14,22,A person said President Obama was not born in the US so he could not be president,17,0.84648824
4973,meth,'An addictive psychoactive drug of formula C₁₀H₁₅N.','a powerful illegal drug methamphetamine that looks like small pieces of glass',7,12,A strong bad drug called meth that looks like little glass bits,12,0.813844
4974,tik,'An addictive psychoactive drug of formula C₁₀H₁₅N.','the drug methamphetamine especially in the form of very small crystals',7,11,The drug meth is like very small shiny things,9,0.7714691
4975,tina,'An addictive psychoactive drug of formula C₁₀H₁₅N.','a first name for girls sometimes short for Christina',7,9,A girl name sometimes is a short form of Christina,10,0.7864213
4976,taurine,'An organic acid of formula C2H7NO3S widely distributed in animal tissues.','a substance that is sometimes used in drinks that are designed to make you feel more active',11,17,A thing that is put in drinks to help you feel more awake,13,0.86461926
4977,logarithm,'The number by which a fixed number (the base) must be raised to produce a given number.','any of a series of numbers set out in lists that make it possible to work out problems by adding and subtracting instead of multiplying and dividing',17,27,A list of numbers that help you solve problems by adding or taking away instead of times or cutting in parts,21,0.8163136
4978,forgetfulness,'The trait of being apt or likely to forget things.','the fact of tending to forget things',10,7,The thing of often forgetting things,6,0.81109375
4979,unimpaired,'That has not been impaired or altered; lacking nothing essential especially not damaged','not damaged or made less good',13,6,not hurt or made less good,6,0.81231964
4980,unaltered,'That has not been impaired or altered; lacking nothing essential especially not damaged','that has not changed or been changed',13,7,that has never changed or been changed,7,0.84199154
4981,unchanged,'That has not been impaired or altered; lacking nothing essential especially not damaged','that has stayed the same and not changed',13,8,That stayed the same and never changed,7,0.7545645
4982,win-win,'That benefits all parties involved without the need of a compromise.','in which there is a good result for each person or group involved',11,13,Where everyone gets something good,5,0.62494147
4983,jawbone,'The bone of the lower jaw.','the bone that forms the lower jaw',6,7,The bone that makes up the bottom jaw,8,0.8501445
4984,payphone,'A telephone with which the communication is payed by inserting money a credit card or a telephone card.','a phone usually in a public place that is operated using coins or a card',18,15,A phone in a public place where you use coins or a card,13,0.8572967
4985,forsythia,'A shrub native to Asia and Eastern Europe which is cultivated for its yellow flowers which bloom in early spring.','a bush that has small bright yellow flowers in the early spring',20,12,A bush with little yellow flowers in spring,8,0.87345546
4986,symphonic,'Pertaining to or having the character of a symphony.','in the form of a symphony; connected with symphonies ',9,10,Like a music piece joined with music pieces,8,0.78617835
4987,honeycomb,'The second chamber in the alimentary canal of a ruminant animal','a structure of cells with six sides made by bees for holding their honey and their eggs',11,17,A house made by bees with six walls to keep honey and baby bees,14,0.8397894
4988,mantelpiece,'A shelf that is affixed to the wall above a fireplace.','a shelf above a fireplace',11,5,A shelf over a warm fire,6,0.7345036
4989,irrecoverably,'In a manner that cannot be recovered from or made good.','in a way that means you cannot get something back',11,10,In a way that you cannot get something back,9,0.8503233
4990,irretrievably,'In a manner that cannot be recovered from or made good.','in a way that means you can never make something right or get it back',11,15,You can never fix it or get it back,9,0.83523643
4991,irreparably,'In a manner that cannot be recovered from or made good.','in a way that is too bad or too serious to repair or put right',11,15,Too bad or serious to fix or make good again,10,0.7740053
4992,overgenerous,'Very generous; giving (money praise etc.) in abundance.','giving too much of something',8,5,Giving a lot of something,5,0.78878856
4993,macaron,'A sweet meringue-based confectionery made with egg white sugar almonds and various flavours such as chocolate vanilla or raspberry.','a small round cake made with egg white sugar and almonds usually consisting of two halves with a cream filling in between',19,22,A little round cake with egg white sugar and almonds often with cream in the middle,16,0.9266553
4994,plight,'A bad or unfortunate situation.','a difficult and sad situation',5,5,a hard and unhappy time,5,0.7155901
4995,butterfly-bush,'A species of flowering plant native to China and Japan which is popular as ornamental plant.','a bush with purple or white flowers that grow in groups and are highly attractive to butterflies',16,17,A bush with purple or white flowers that come in bunches and look pretty to butterflies,16,0.856277
4996,pestle,'A heavy cylindrical object with a rounded end used for crushing and grinding.','a small heavy tool with a round end used for pressing things to a powder in a special bowl called a mortar',13,22,A small heavy tool like a round stone used to crush things into powder in a special bowl,18,0.8806938
4997,kickback,'A pre-agreed commission given by one of the parties in a financial transaction to somebody who has facilitated or made possible the transaction without the knowledge of the other party.','money paid illegally to somebody in return for work or help',30,11,People gave money in a bad way to someone for help or work,13,0.7819222
4998,homophobic,'Having or conveying a dislike of homosexuals or homosexuality.','having or showing dislike towards gay people or treating them unfairly',9,11,Not liking gay people or being mean to them,9,0.842238
4999,homophobia,'The dislike or hate of homosexuals or homosexuality.','dislike or unfair treatment of gay people',8,7,Not being nice or fair to people who like others of the same gender,14,0.7029817
5000,homophobe,'A person who dislikes or hates homosexuals or homosexuality.','a person who dislikes gay people or treats them unfairly',9,10,A person who does not like gay people or is not nice to them,14,0.8473948
5001,cornstarch,'A very fine starch powder derived from corn used as a thickener in cooking.','fine white flour made from corn (maize) used especially for making sauces thicker',14,13,Fine white flour made from corn is used to make sauces thicker,12,0.87960225
5002,cornflour,'A very fine starch powder derived from corn used as a thickener in cooking.','fine white flour made from maize used especially for making sauces thicker',14,12,A special kind of corn flour white and smooth is used to make sauces thicker,15,0.8816774
5003,melatonin,'A hormone of formula C13H16N2O2 that regulates the sleep-wake cycles in humans.','a hormone that helps regulate (= control) waking and sleeping in humans and animals and which is sometimes used to treat insomnia (= the condition of being unable to sleep)',12,30,A hormone that helps control waking up and sleeping and is used to help people who cannot sleep,18,0.87168694
5004,deify,'To make a god of.','to treat somebody as a god',5,6,to think someone is like a god,7,0.80358875
5005,camaraderie,'A close friendship between people who are in a same group or team.','a feeling of friendship and trust among people who work or spend a lot of time together',13,17,When people work or play together for a long time and become good friends and trust each other,18,0.82776374
5007,comradeship,'A close friendship between people who are in a same group or team.','friendship between people who are members of the same group for example soldiers or people who work together',13,18,Friendship between people in the same group like soldiers or people who work together,14,0.9325974
5008,esoteric,'Not understandable by the non-initiated.','likely to be understood or enjoyed by only a few people with a special knowledge or interest',5,17,Only a few people might know or like it because it needs special knowledge or interest,16,0.7619672
5009,catkin,'A type of inflorescence arranged in a cylindrical cluster.','a long thin hanging bunch or short standing group of soft flowers on the branches of trees such as the willow',9,21,A long thin bunch or short group of soft flowers on tree branches like the willow,16,0.9164874
5010,decollete,'Having a low neckline that reveals part of the breasts.',with a very low top that shows a woman's shoulders and the top part of her breasts,10,17,A dress with a low top that shows a womans shoulders and chest,13,0.9340658
5011,decolletage,A low neckline on a woman's dress that reveals part of the breasts.,'the top edge of a dress etc. that is designed to be very low in order to show the shoulders and the top part of the breasts',13,27,The top of a dress that is low to show the shoulders and upper chest,15,0.8967595
5012,narrow-minded,'Having restricted or rigid views and being unreceptive to new ideas.','not willing to listen to new ideas or to the opinions of others',11,13,Not ready to hear new thoughts or what others think,10,0.83408403
5013,small-minded,'Having restricted or rigid views and being unreceptive to new ideas.','having fixed opinions and ways of doing things and not willing to change them or consider other people’s opinions or feelings; interested in small problems and details and not in things which are really important',11,35,Always thinking theyre right not wanting to change or listen to others caring too much about unimportant things,18,0.83820105
5014,frenemy,'An enemy pretending to be a friend.','a person or organization that you are friends with because it is useful or necessary to be their friend even though you really dislike or disagree with them',7,28,Someone you pretend to like because they help you even if you dont really like them,16,0.82450736
5015,reminisce,'To talk or write about past experiences.','to think talk or write about a happy time in your past',7,12,Think or talk about a time you were happy before,10,0.82886034
5016,stirring,'(For a music song etc.) Having a stimulating effect such as giving the desire to dance.','the beginning of a feeling an idea or a development',16,10,It is when a new thought or thing starts,9,0.7953147
